question,answer,answer_number,equation_solution
Le anatre di Janet depongono 16 uova al giorno.Ne mangia tre a colazione ogni mattina e cuoci muffin per i suoi amici ogni giorno con quattro.Vende il resto al mercato degli agricoltori ogni giorno per $ 2 per uovo di anatra fresca.Quanto in dollari fa ogni giorno al mercato degli agricoltori?,,18,
Una veste prende 2 bulloni di fibra blu e metà così tanta fibra bianca.Quanti bulloni in totale ci vogliono?,,3,
Josh decide di provare a lanciare una casa.Compra una casa per $ 80.000 e poi mette $ 50.000 in riparazioni.Ciò ha aumentato il valore della casa del 150%.Quanto profitto ha realizzato?,,70000,
James decide di eseguire 3 sprint 3 volte a settimana.Gestisce 60 metri ciascuno.Quanti metri totali gestisce una settimana?,,540,
"Ogni giorno, Wendi nutre ciascuna delle sue galline tre tazze di alimentazione a pollo mista, contenente semi, vermi e verdure per aiutarli a mantenerli sani.Dà ai polli il loro mangime in tre pasti separati.Al mattino, dà il suo gregge di polli 15 tazze di mangime.Nel pomeriggio, dà alle sue polli altre 25 tazze di mangime.Di quante tazze di mangime hanno bisogno per dare le sue galline nel pasto finale della giornata se le dimensioni del gregge di Wendi sono 20 polli?",,20,
"Kylar andò al negozio per comprare occhiali per il suo nuovo appartamento.Un vetro costa $ 5, ma ogni secondo vetro costa solo il 60% del prezzo.Kylar vuole comprare 16 occhiali.Quanto ha bisogno di pagare per loro?",,64,
"Tolosa ha il doppio delle pecore di Charleston.Charleston ha 4 volte più pecore di Seattle.Quante pecore fanno Tolosa, Charleston e Seattle se Seattle ha 20 pecore?",,260,
"Carla sta scaricando un file da 200 GB.Normalmente può scaricare 2 GB/minuto, ma il 40% del download, Windows costringe un riavvio per installare gli aggiornamenti, che richiedono 20 minuti.Quindi Carla deve riavviare il download dall'inizio.Come è necessario il caricamento per scaricare il file?",,160,
"John guida per 3 ore a una velocità di 60 mph e poi si gira perché si rende conto di aver dimenticato qualcosa di molto importante a casa.Cerca di tornare a casa tra 4 ore, ma trascorre le prime 2 ore nel traffico di fermo.Trascorre la prossima mezz'ora a guidare a una velocità di 30 miglia all'ora, prima di poter guidare il tempo rimanente delle 4 ore a 80 mph.Quanto è lontano da casa alla fine di quelle 4 ore?",,45,
"La tariffa di Eliza all'ora per le prime 40 ore lavora ogni settimana è di $ 10.Riceve anche una retribuzione straordinaria di 1,2 volte la sua tariffa oraria regolare.Se Eliza ha lavorato per 45 ore questa settimana, quanto sono i suoi guadagni per questa settimana?",,460,
