premise,choice1,choice2,question,label,idx,changed
L'oggetto era incartato nella plastica bollata.,Era delicato.,Era piccolo.,cause,0,0,False
Avevo svuotato le mie tasche.,Estrassi la matrice di un biglietto.,Trovai un'arma.,effect,0,1,False
Le termiti invasero la casa.,Le termiti sparirono dalla casa.,Le termiti rosero il legno della casa.,effect,1,2,False
I viaggiatori raggiunsero il confine.,L'agente di pattuglia controllò i loro passaporti.,L'agente di pattuglia li accusò di contrabbando.,effect,0,3,False
L'ufficio era chiuso.,Era vacanza.,Era estate.,cause,0,4,False
La ragazza esaurì le energie.,Aveva giocato a dama.,Aveva saltato la corda.,cause,1,5,False
La donna aveva perso il suo posto in fila.,Più persone si misero in fila.,Si era tolta dalla fila.,cause,1,6,False
La ragazza si era tappata il naso.,La bambina aveva sbavato sul bavaglino.,La bambina aveva sporcato il pannolino.,cause,1,7,False
Il gruppo suonò la loro canzone di successo.,Il pubblico applaudì a ritmo di musica.,Il pubblico ascoltò educatamente in silenzio.,effect,0,8,False
La ragazza voleva ringraziare l'insegnante di matematica.,La ragazza rimase dopo scuola per punizione.,La ragazza portò una mela all'insegnante.,effect,1,9,False
I giovani campeggiatori erano spaventati.,L'animatore raccontò loro una storia di paura.,Abbrustolirono marshmallows sul falò.,cause,0,10,False
L'uomo sbatté la testa.,Si perse nei suoi pensieri.,Subì una commozione cerebrale.,effect,1,11,False
L'assegno che avevo formato era scoperto.,Il mio conto in banca era vuoto.,Avevo ricevuto un aumento di stipendio.,cause,0,12,False
La casella di posta dell'uomo era piena di spam.,Cancellò lo spam.,Inviò un email di massa.,effect,0,13,False
Il marinaio fu messo in quarantena.,Era stato esposto alla malattia.,Guarì dalla malattia.,cause,0,14,False
La ragazza aveva memorizzato il codice.,Se lo era recitato fra sé e sé.,Si era dimenticata di annotarlo.,cause,0,15,False
Versai l'acqua nel bicchiere.,L'acqua appagò la mia sete.,Il bicchiere si riempì.,effect,1,16,False
L'uomo rimase silenzioso quando l'amico finì di parlare.,Voleva offrire supporto all'amico.,Stava pensando alle parole dell'amico.,cause,1,17,False
L'incidente era colpa mia.,Mi sentivo colpevole.,Feci denuncia.,effect,0,18,False
La catena si ruppe.,La catena era montata su una ruota.,C'era un anello rotto nella catena.,cause,1,19,False
