question,answer_number
Julia ha giocato con 18 bambini lunedì.Martedì ha giocato tag con 10 bambini.Con quanti più bambini ha giocato lunedì che martedì?,8.0
Julia ha giocato con 11 bambini lunedì.Ha giocato tag con 12 bambini martedì.Con quanti più bambini ha giocato martedì che lunedì?,1.0
Julia ha giocato con 5 bambini lunedì.Martedì ha giocato tag con altri bambini.Se ha giocato con un totale di 15 bambini con quanti bambini ha giocato martedì?,10.0
Julia ha giocato con alcuni bambini lunedì.Martedì ha giocato tag con 14 bambini.Se ha giocato con un totale di 16 bambini con quanti bambini ha giocato lunedì?,2.0
Julia ha giocato con 16 bambini lunedì.Se ha giocato tag con altri 12 bambini il lunedì che martedì con quanti bambini ha giocato martedì?,4.0
Julia ha giocato con 14 bambini martedì.Se ha giocato tag con altri 8 bambini il lunedì che martedì con quanti bambini ha giocato lunedì?,22.0
Julia ha giocato con 17 bambini lunedì 15 bambini martedì e 2 bambini mercoledì.Con quanti bambini ha giocato del tutto?,34.0
Julia ha giocato con 15 bambini lunedì 18 bambini martedì e 97 bambini mercoledì.Con quanti bambini ha giocato lunedì e martedì?,33.0
Julia ha giocato con 5 bambini lunedì 9 bambini martedì e 15 bambini mercoledì.Con quanti bambini ha giocato lunedì e mercoledì?,20.0
Julia ha giocato con 2 bambini lunedì 14 bambini martedì e 16 bambini mercoledì.Con quanti bambini ha giocato martedì e mercoledì?,30.0
Julia ha giocato con 9 bambini lunedì 7 bambini martedì e 96 bambini mercoledì.Con quanti più bambini ha giocato lunedì che martedì?,2.0
Julia ha giocato con 14 bambini lunedì 2 bambini martedì e 8 bambini mercoledì.Con quanti più bambini ha giocato lunedì che mercoledì?,6.0
Julia ha giocato con 8 bambini lunedì 11 bambini martedì e 9 bambini mercoledì.Con quanti più bambini ha giocato martedì che mercoledì?,2.0
Julia ha giocato tag con 15 bambini lunedì 18 bambini martedì e 7 bambini mercoledì.Con quanti più bambini ha giocato il lunedì e il martedì che il mercoledì?,26.0
Julia ha giocato con 13 bambini lunedì e 10 bambini martedì.Ha giocato a carte con 15 bambini mercoledì.Con quanti bambini ha giocato del tutto?,38.0
Julia ha giocato con 7 bambini lunedì e 13 bambini martedì.Ha giocato a carte con 20 bambini mercoledì.Con quanti bambini ha giocato a tag del tutto?,20.0
Julia ha giocato con 12 bambini lunedì.Martedì ha giocato tag con 14 bambini.Ha trascorso un totale di 34 ore per giocare a tag in entrambi i giorni.Con quanti bambini ha giocato del tutto?,26.0
